FID,the_geom,CATEGORY,NAME
power_towers.295,POINT (25.1693271 31.5273374),Government and Public Services,Power Tower
power_towers.296,POINT (25.1696772 31.5268662),Government and Public Services,Power Tower
power_towers.297,POINT (25.1698695 31.5269023),Government and Public Services,Power Tower
power_towers.298,POINT (25.1699177 31.5269784),Government and Public Services,Power Tower
power_towers.299,POINT (25.170382 31.5263809),Government and Public Services,Power Tower
power_towers.300,POINT (25.1706843 31.5263768),Government and Public Services,Power Tower
power_towers.301,POINT (25.1707311 31.5264501),Government and Public Services,Power Tower
power_towers.302,POINT (25.1709829 31.5260376),Government and Public Services,Power Tower
power_towers.303,POINT (25.1713412 31.5259727),Government and Public Services,Power Tower
power_towers.304,POINT (25.1714089 31.5260457),Government and Public Services,Power Tower
power_towers.305,POINT (25.1715297 31.4403724),Government and Public Services,Power Tower
power_towers.306,POINT (25.1716844 31.5255981),Government and Public Services,Power Tower
power_towers.307,POINT (25.1721034 31.5254814),Government and Public Services,Power Tower
power_towers.308,POINT (25.1721544 31.5255546),Government and Public Services,Power Tower
power_towers.309,POINT (25.1723358 31.5251807),Government and Public Services,Power Tower
power_towers.310,POINT (25.1726722 31.5251194),Government and Public Services,Power Tower
power_towers.311,POINT (25.172735 31.5251836),Government and Public Services,Power Tower
power_towers.312,POINT (25.1730097 31.5247548),Government and Public Services,Power Tower
power_towers.313,POINT (25.1732844 31.5247433),Government and Public Services,Power Tower
power_towers.314,POINT (25.1733423 31.524798),Government and Public Services,Power Tower
power_towers.315,POINT (25.1737418 31.524286),Government and Public Services,Power Tower
power_towers.316,POINT (25.1738744 31.5243651),Government and Public Services,Power Tower
power_towers.317,POINT (25.1739248 31.5244256),Government and Public Services,Power Tower
power_towers.318,POINT (25.1745015 31.5239636),Government and Public Services,Power Tower
power_towers.319,POINT (25.1745383 31.5240426),Government and Public Services,Power Tower
power_towers.320,POINT (25.17459 31.5237446),Government and Public Services,Power Tower
power_towers.321,POINT (25.1747919 31.4404733),Government and Public Services,Power Tower
power_towers.322,POINT (25.1750914 31.5235917),Government and Public Services,Power Tower
power_towers.323,POINT (25.1751487 31.5236518),Government and Public Services,Power Tower
power_towers.324,POINT (25.175291 31.523289),Government and Public Services,Power Tower
power_towers.325,POINT (25.1756566 31.5232241),Government and Public Services,Power Tower
power_towers.326,POINT (25.1757157 31.5232925),Government and Public Services,Power Tower
power_towers.327,POINT (25.1759997 31.5228499),Government and Public Services,Power Tower
power_towers.328,POINT (25.176249 31.5228564),Government and Public Services,Power Tower
power_towers.329,POINT (25.1763075 31.5229254),Government and Public Services,Power Tower
power_towers.330,POINT (25.1766194 31.5224537),Government and Public Services,Power Tower
power_towers.331,POINT (25.1768613 31.5224634),Government and Public Services,Power Tower
power_towers.332,POINT (25.1769117 31.5225398),Government and Public Services,Power Tower
power_towers.333,POINT (25.1772856 31.5220344),Government and Public Services,Power Tower
power_towers.334,POINT (25.1774611 31.5220894),Government and Public Services,Power Tower
power_towers.335,POINT (25.1775283 31.5221595),Government and Public Services,Power Tower
power_towers.336,POINT (25.1779673 31.5215887),Government and Public Services,Power Tower
power_towers.337,POINT (25.1780684 31.5217048),Government and Public Services,Power Tower
power_towers.338,POINT (25.1781014 31.4406245),Government and Public Services,Power Tower
power_towers.339,POINT (25.1781201 31.5217897),Government and Public Services,Power Tower
power_towers.340,POINT (25.1786385 31.5213308),Government and Public Services,Power Tower
power_towers.341,POINT (25.1786489 31.5211628),Government and Public Services,Power Tower
power_towers.342,POINT (25.1787057 31.5214173),Government and Public Services,Power Tower
power_towers.343,POINT (25.1791715 31.5209906),Government and Public Services,Power Tower
power_towers.344,POINT (25.1792355 31.5210871),Government and Public Services,Power Tower
power_towers.345,POINT (25.1793577 31.5207105),Government and Public Services,Power Tower
power_towers.346,POINT (25.1799671 31.520492),Government and Public Services,Power Tower
